Machine_Type,pressure,Temperature,Vibration,Machineruntime,Date,Component,Maintenancetype,Actiontaken,Failure type,Downtime (hrs)
Mill,53.06758986,63.9936131,754.3149,17,04-10-2023,Coupling,Corrective,Replaced,Overheating,3.8
Mill,44.88603717,67.0830625,718.8326,10,27-02-2023,Bearing,Predictive,Lubricated,Wear and Tear,0.8
Drill,48.71311731,63.98293388,997.1684,15,29-04-2024,Motor,Corrective,Repaired,Misalignment,3.8
Drill,41.65707963,88.52278185,993.1549,12,28-01-2024,Bearing,Predictive,Lubricated,Bearing Failure,1.4
Lathe,51.99611561,69.86502775,704.7337,7,16-05-2023,Shaft,Predictive,Aligned,No Failure,0.9
Lathe,53.2359797,59.42289071,954.3695,15,22-01-2024,Coupling,Preventive,Replaced,No Failure,5.7
Mill,47.58406769,78.22544912,998.9105,9,29-11-2023,Gearbox,Preventive,Replaced,No Failure,5.8
Drill,57.86993382,57.7915635,906.7589,12,26-04-2023,Lubrication,Predictive,Flushed,Bearing Failure,4.9
Drill,43.87117168,72.08863595,656.4268,13,29-10-2023,Motor,Corrective,Inspected,No Failure,2.2
Lathe,42.6781256,50.40329876,926.6788,19,28-04-2023,Bearing,Corrective,Inspected,Leakage,1
Mill,51.12225909,56.71813951,693.5878,8,02-05-2023,Bearing,Preventive,Replaced,No Failure,4.3
Mill,55.23549151,71.96861236,786.9788,10,09-03-2023,Gearbox,Preventive,Repaired,No Failure,2.9
Lathe,58.41963846,77.3846658,534.4531,15,18-02-2024,Coupling,Preventive,Replaced,No Failure,1.2
Drill,47.70557869,71.71368281,873.6748,12,01-07-2023,Shaft,Corrective,Replaced,Leakage,3.2
Lathe,55.39340417,68.84351718,949.618,15,11-12-2023,Lubrication,Preventive,Checked,No Failure,0.7
Lathe,49.80745765,66.98896304,611.7451,15,14-02-2024,Bearing,Preventive,Inspected,No Failure,5.5
Lathe,49.1368635,55.2147801,549.9945,7,13-03-2023,Shaft,Corrective,Replaced,No Failure,1.9
Lathe,54.41829969,62.80155792,740.4518,13,23-03-2024,Shaft,Preventive,Aligned,No Failure,4.1
Drill,53.26161439,65.39361229,981.8208,12,04-10-2023,Lubrication,Predictive,Refilled,Bearing Failure,2.2
Lathe,42.11803922,80.57122226,901.7729,13,04-09-2023,Bearing,Corrective,Replaced,Wear and Tear,3.4
Drill,57.38270175,73.4361829,777.7093,11,19-07-2023,Lubrication,Corrective,Refilled,Wear and Tear,3.5
Lathe,56.90045677,52.36959845,725.5837,15,05-05-2024,Lubrication,Preventive,Flushed,No Failure,1.5
Mill,46.87218649,73.24083969,625.7589,14,01-06-2023,Gearbox,Predictive,Replaced,Misalignment,5.8
Drill,51.97901767,66.1491772,759.8554,12,18-01-2024,Bearing,Predictive,Inspected,No Failure,4.8
Mill,52.47015093,63.23078,886.9486,12,15-04-2024,Bearing,Corrective,Inspected,Wear and Tear,5.7
Lathe,51.30336883,76.11676289,611.4911,14,05-02-2023,Shaft,Corrective,Inspected,Bearing Failure,5.4
Lathe,47.24847423,80.30999522,618.8281,6,27-04-2024,Bearing,Predictive,Replaced,Wear and Tear,3.8
Lathe,46.64188316,79.31280119,883.943,6,11-02-2023,Shaft,Predictive,Inspected,Bearing Failure,5.6
Drill,49.87222965,61.60782477,522.7032,6,23-04-2024,Gearbox,Predictive,Cleaned,No Failure,1
Mill,55.8636451,66.90787624,680.6659,12,16-05-2023,Shaft,Predictive,Inspected,Overheating,1.6
Drill,52.71800077,73.31263431,554.9196,13,11-06-2023,Shaft,Predictive,Inspected,Overheating,0.7
Drill,48.14692834,79.75545127,503.2668,10,21-02-2023,Bearing,Preventive,Inspected,No Failure,2.3
Lathe,53.85849355,65.20825762,749.2268,12,22-04-2024,Coupling,Corrective,Inspected,Overheating,2.6
Mill,35.7572869,68.14341023,909.6653,15,13-08-2023,Bearing,Corrective,Lubricated,Overheating,2
Lathe,55.7438285,58.93665026,774.017,12,28-09-2023,Gearbox,Preventive,Cleaned,No Failure,5.1
Drill,41.30143111,58.03793376,601.6678,14,25-04-2024,Gearbox,Predictive,Replaced,Leakage,2.5
Lathe,48.18779529,78.12525822,509.131,17,21-03-2023,Motor,Corrective,Repaired,Leakage,2
Mill,44.40165053,83.56240029,913.8312,13,15-04-2023,Motor,Predictive,Repaired,Leakage,3.5
Lathe,43.52659262,69.27989878,804.8413,8,17-02-2023,Coupling,Preventive,Tightened,No Failure,1.3
Mill,55.80413394,80.03532898,677.9067,12,23-11-2023,Motor,Corrective,Repaired,Overheating,4.9
Mill,47.66149399,73.61636025,615.4467,8,07-08-2023,Shaft,Predictive,Aligned,No Failure,0.9
Lathe,51.73251941,63.54880245,713.7178,17,07-10-2023,Bearing,Corrective,Replaced,Leakage,5.9
Drill,49.76539711,73.61395606,512.4325,9,07-03-2023,Motor,Predictive,Inspected,Misalignment,4.7
Lathe,52.38520414,85.38036566,603.5651,14,18-04-2023,Motor,Preventive,Repaired,No Failure,1.6
Drill,50.38410946,69.64173961,919.5988,12,13-05-2024,Gearbox,Corrective,Replaced,No Failure,0.5
Drill,43.58503888,85.64643656,932.833,5,27-03-2024,Gearbox,Corrective,Repaired,Misalignment,5
Lathe,54.9813341,43.80254896,861.5881,6,15-02-2024,Bearing,Corrective,Inspected,Overheating,4.4
Drill,47.53121708,78.21902504,989.2682,15,22-03-2024,Motor,Corrective,Inspected,Bearing Failure,4.5
Drill,42.21709051,70.87047068,575.4607,12,06-06-2023,Lubrication,Corrective,Refilled,Wear and Tear,4.7
Lathe,47.8594242,67.0099265,613.011,14,18-06-2023,Shaft,Corrective,Inspected,Misalignment,0.9
Lathe,57.50379895,70.91760777,805.483,16,18-09-2023,Bearing,Preventive,Lubricated,No Failure,2.5
Lathe,54.25110871,50.12431085,920.4686,6,25-03-2024,Gearbox,Predictive,Replaced,Bearing Failure,1.1
Drill,48.25673933,67.80328112,600.8119,18,02-11-2023,Shaft,Predictive,Aligned,Bearing Failure,5.2
Mill,48.25371148,73.57112572,555.2204,14,19-09-2023,Motor,Predictive,Replaced,Wear and Tear,3.9
Drill,48.39182474,84.77894045,700.7744,14,29-12-2023,Lubrication,Predictive,Refilled,Overheating,2.3
Mill,60.38373992,64.81729782,787.151,14,26-04-2024,Bearing,Predictive,Inspected,Leakage,0.8
Lathe,51.90967726,61.91506397,911.4891,15,16-04-2024,Motor,Preventive,Repaired,No Failure,2.2
Mill,52.15020824,64.98242956,875.6744,5,04-01-2024,Coupling,Preventive,Inspected,No Failure,2.3
Lathe,55.15141727,79.15402118,710.6103,14,17-06-2023,Coupling,Preventive,Inspected,No Failure,4.5
Lathe,51.1939458,73.2875111,854.5801,12,09-04-2023,Gearbox,Preventive,Cleaned,No Failure,4
Mill,48.70478927,64.70239796,899.1371,13,07-04-2024,Gearbox,Preventive,Cleaned,No Failure,5.4
Lathe,49.01825075,75.13267433,947.632,8,02-03-2024,Coupling,Predictive,Tightened,Wear and Tear,3.1
Mill,49.6419937,70.97077549,944.712,15,07-02-2024,Motor,Preventive,Repaired,No Failure,1.2
Lathe,49.81388882,79.68644991,505.1072,10,15-08-2023,Coupling,Predictive,Tightened,Wear and Tear,4.4
Drill,53.63814772,62.97946906,695.4581,12,04-12-2023,Coupling,Preventive,Inspected,No Failure,4.7
Drill,50.25972943,66.72337853,960.6235,11,21-06-2023,Motor,Predictive,Inspected,Leakage,3.6
Lathe,53.66320039,66.07891847,661.3907,14,17-03-2023,Shaft,Predictive,Aligned,Misalignment,4.7
Lathe,49.5964171,55.36485052,814.5214,12,22-08-2023,Bearing,Corrective,Lubricated,No Failure,3.2
Mill,50.39317595,72.96120277,777.9886,13,16-07-2023,Gearbox,Predictive,Repaired,Leakage,3.4
Drill,40.00899658,72.61055272,851.8079,9,03-01-2023,Lubrication,Corrective,Refilled,Leakage,2.9
Mill,54.58163837,70.05113457,607.9738,15,26-08-2023,Lubrication,Corrective,Refilled,Leakage,0.6
Lathe,51.73244238,67.65412867,566.1709,12,15-02-2024,Coupling,Corrective,Replaced,Wear and Tear,1.1
Lathe,54.99005055,55.84629258,540.5239,13,01-05-2024,Gearbox,Predictive,Cleaned,No Failure,0.7
Mill,35.51872311,65.79354677,946.4837,14,17-08-2023,Coupling,Predictive,Inspected,Wear and Tear,4
Lathe,60.44187352,66.57285483,812.232,9,20-01-2024,Gearbox,Preventive,Replaced,No Failure,2.2
Drill,49.30205186,61.97722731,664.4769,17,17-11-2023,Gearbox,Preventive,Cleaned,No Failure,3.3
Mill,55.54091408,68.38714288,934.1689,14,27-05-2023,Motor,Preventive,Repaired,No Failure,5.5
Drill,44.80047036,74.04050857,898.751,16,11-02-2023,Motor,Preventive,Replaced,No Failure,1.9
Drill,53.06386953,88.86185901,784.5186,12,28-12-2023,Shaft,Corrective,Aligned,Leakage,2.8
Drill,44.73292218,71.74577813,582.5699,15,05-10-2023,Bearing,Preventive,Lubricated,No Failure,4.7
Mill,46.8811552,72.57550391,918.078,7,08-04-2024,Lubrication,Corrective,Refilled,Wear and Tear,1.8
Lathe,59.57015677,69.25554084,777.4051,15,04-01-2023,Gearbox,Corrective,Cleaned,Wear and Tear,0.9
Drill,49.046588,50.81228785,760.5229,10,18-01-2024,Motor,Preventive,Replaced,No Failure,2.1
Drill,51.08716437,69.73486125,764.204,18,12-08-2023,Coupling,Corrective,Tightened,Misalignment,1.4
Drill,54.35033865,70.6023021,768.3501,12,14-12-2023,Bearing,Preventive,Lubricated,No Failure,5.6
Lathe,52.47840944,94.63242112,793.5783,12,01-10-2023,Gearbox,Corrective,Replaced,Misalignment,4.9
Lathe,50.75209453,68.07639035,920.3943,19,12-02-2023,Lubrication,Predictive,Checked,Leakage,4
Mill,51.82480501,73.01547342,781.8192,15,14-05-2023,Shaft,Preventive,Replaced,No Failure,5.3
Lathe,62.01707793,69.6528823,997.8211,7,25-01-2024,Motor,Corrective,Replaced,Overheating,4.9
Mill,49.71190601,58.31321962,658.6785,10,29-08-2023,Motor,Preventive,Replaced,No Failure,1.5
Mill,51.00549523,81.42822815,673.2714,12,29-11-2023,Gearbox,Predictive,Repaired,Overheating,5.4
Mill,55.25327198,77.51933033,891.8201,11,05-03-2024,Gearbox,Corrective,Repaired,Misalignment,3.5
Mill,55.52762966,77.91031947,874.0985,10,09-12-2023,Coupling,Corrective,Replaced,Misalignment,4.9
Mill,55.93515153,60.90612545,542.2858,15,28-01-2024,Coupling,Corrective,Tightened,Leakage,5.4
Drill,53.19365111,84.02794311,779.3813,19,28-02-2023,Shaft,Predictive,Inspected,Leakage,2.2
Lathe,44.28497544,55.98148937,939.238,14,22-10-2023,Motor,Corrective,Inspected,Bearing Failure,1.1
Drill,58.16715766,75.86857094,931.8102,13,20-12-2023,Lubrication,Predictive,Refilled,Bearing Failure,1.8
Mill,44.26827303,91.90455626,955.1093,14,17-02-2024,Bearing,Predictive,Lubricated,Leakage,2.8
Lathe,51.51317733,60.09463675,998.7741,11,05-12-2023,Coupling,Corrective,Tightened,No Failure,5
Drill,46.22862075,64.3370227,976.0456,8,10-03-2024,Bearing,Predictive,Inspected,Overheating,5.2
Drill,49.67930827,70.99651365,716.7518,16,01-04-2024,Lubrication,Corrective,Flushed,Overheating,0.5
Mill,51.64381205,64.96524346,619.8276,9,25-09-2023,Gearbox,Corrective,Replaced,Misalignment,3.3
Drill,51.60678608,54.49336569,845.6429,19,27-02-2024,Coupling,Predictive,Tightened,Wear and Tear,2.8
Drill,52.10960377,70.68562975,641.0498,15,23-05-2023,Motor,Preventive,Repaired,No Failure,1.7
Drill,58.06855635,59.37696286,812.0582,12,09-12-2023,Shaft,Preventive,Inspected,No Failure,1.2
Drill,52.26767151,74.73592431,550.6278,15,07-09-2023,Motor,Corrective,Replaced,Overheating,2.4
Drill,48.77921682,60.80575766,811.1828,6,26-03-2024,Motor,Preventive,Replaced,No Failure,5.7
Mill,54.82043584,85.49934405,920.7223,17,22-09-2023,Gearbox,Preventive,Cleaned,No Failure,2.3
Mill,55.94735244,62.16746708,921.1311,7,12-10-2023,Bearing,Corrective,Inspected,Wear and Tear,3.4
Drill,43.86196092,66.77938484,583.6156,12,09-09-2023,Gearbox,Preventive,Cleaned,No Failure,4.4
Mill,52.98700035,78.13517217,673.2293,10,21-12-2023,Bearing,Corrective,Lubricated,Misalignment,2.5
Mill,53.50586371,57.69135684,520.7299,19,11-10-2023,Motor,Predictive,Inspected,Overheating,5.8
Lathe,48.51218248,72.27459935,543.3386,11,19-06-2023,Motor,Preventive,Inspected,No Failure,5.8
Drill,56.87853407,83.07142754,964.6666,14,09-05-2023,Gearbox,Preventive,Replaced,No Failure,1.9
Mill,49.24972206,53.92516765,805.6919,11,16-01-2024,Bearing,Predictive,Replaced,Overheating,3.2
Mill,50.62788227,71.84633859,757.7602,10,05-09-2023,Gearbox,Corrective,Repaired,Misalignment,2.2
Drill,49.13464088,72.59882794,827.265,12,21-02-2023,Gearbox,Predictive,Cleaned,No Failure,2.1
Lathe,50.07789524,77.81822872,811.0948,9,08-01-2023,Motor,Corrective,Replaced,Misalignment,0.7
Drill,44.51862457,57.63049289,600.4208,10,11-10-2023,Shaft,Preventive,Replaced,No Failure,3.9
Lathe,42.79974559,56.79543387,544.5912,12,22-03-2024,Gearbox,Corrective,Cleaned,Wear and Tear,3.3
Drill,57.97252532,75.21941566,844.0209,16,14-08-2023,Coupling,Preventive,Tightened,No Failure,0.8
Drill,45.76519326,72.96984673,688.8907,8,25-02-2024,Shaft,Corrective,Aligned,Wear and Tear,2
Drill,45.04303825,72.5049285,611.0831,15,19-11-2023,Lubrication,Preventive,Refilled,No Failure,5.5
Drill,39.23304943,73.46448209,954.5009,15,08-05-2023,Shaft,Corrective,Inspected,Overheating,1.8
Lathe,46.80519126,63.19975278,926.0848,15,09-02-2024,Coupling,Preventive,Inspected,No Failure,1.3
Lathe,43.38455103,72.32253697,991.2579,12,02-06-2023,Shaft,Predictive,Aligned,Wear and Tear,3.2
Mill,58.2100758,72.93072473,515.7339,11,31-01-2023,Lubrication,Preventive,Checked,No Failure,5.9
Drill,55.04908545,62.85648582,569.7719,11,16-05-2023,Gearbox,Corrective,Repaired,Leakage,1.8
Lathe,46.55924827,88.65774511,757.355,15,22-03-2023,Shaft,Corrective,Replaced,No Failure,4.2
Lathe,61.26217903,74.73832921,638.7021,12,29-08-2023,Lubrication,Preventive,Checked,No Failure,4.7
Lathe,54.90882743,58.08696503,581.8789,11,26-12-2023,Bearing,Corrective,Lubricated,Leakage,1.8
Drill,48.37584308,76.56553609,523.1315,6,29-10-2023,Bearing,Predictive,Replaced,Overheating,4.5
Mill,37.50297143,60.2531833,755.7063,18,18-03-2023,Lubrication,Corrective,Checked,Misalignment,2.5
Lathe,61.45471286,77.87084604,770.2785,10,01-11-2023,Shaft,Corrective,Replaced,Misalignment,4
Drill,43.05213767,81.58595579,980.4789,8,19-12-2023,Motor,Preventive,Repaired,No Failure,4
Lathe,41.77300627,61.79317682,853.5595,9,04-10-2023,Gearbox,Preventive,Replaced,No Failure,3.4
Lathe,55.11285216,79.63376129,927.3055,7,12-01-2024,Lubrication,Corrective,Checked,Bearing Failure,1
Mill,62.19876203,74.12780927,568.1471,10,28-04-2023,Coupling,Preventive,Replaced,No Failure,5.1
Lathe,56.92136409,78.2206016,916.0416,15,21-01-2023,Coupling,Corrective,Inspected,Overheating,2.3
Lathe,52.8195456,88.96792983,942.6903,19,03-04-2023,Lubrication,Predictive,Checked,Wear and Tear,1.5
Drill,52.97377171,67.54611884,701.0776,15,28-06-2023,Lubrication,Predictive,Flushed,Bearing Failure,0.7
Drill,54.26707779,62.46263836,976.7728,13,15-03-2024,Motor,Preventive,Inspected,No Failure,3.7
Mill,53.79464295,61.1048557,733.1421,16,28-05-2023,Motor,Preventive,Inspected,No Failure,4.2
Drill,51.40595712,61.84189715,526.5726,7,10-05-2023,Coupling,Corrective,Tightened,Bearing Failure,0.6
Drill,50.52100552,69.22898291,680.907,6,03-12-2023,Bearing,Preventive,Inspected,No Failure,3.3
Mill,49.68703436,73.41151975,606.2025,12,23-09-2023,Lubrication,Preventive,Refilled,No Failure,1.7
Lathe,46.23017706,72.76690799,742.5912,19,25-01-2024,Coupling,Preventive,Inspected,No Failure,4
Mill,48.59662462,78.27183249,745.9786,12,19-04-2024,Shaft,Preventive,Inspected,No Failure,1.5
Drill,41.53521593,70.13001892,793.7708,10,13-05-2024,Lubrication,Predictive,Flushed,Bearing Failure,4.3
Mill,49.50830187,84.53534077,509.8935,9,08-01-2023,Shaft,Predictive,Replaced,Overheating,2.6
Lathe,45.05704446,67.35343167,720.1056,14,29-04-2024,Lubrication,Corrective,Refilled,Bearing Failure,5.7
Mill,44.48205341,97.20169167,779.0535,12,18-09-2023,Gearbox,Corrective,Replaced,Leakage,1.3
Drill,50.89947076,76.25667348,903.143,15,22-08-2023,Lubrication,Preventive,Flushed,No Failure,2.4
Drill,56.96001143,61.42842444,946.7359,12,18-09-2023,Shaft,Preventive,Replaced,No Failure,1.1
Mill,54.59158303,59.29107502,555.8441,7,23-04-2024,Bearing,Preventive,Lubricated,No Failure,5.6
Lathe,42.14749698,74.82472415,954.5439,14,04-03-2024,Motor,Corrective,Replaced,Leakage,5.3
Mill,45.05185932,67.76537215,949.0209,12,03-10-2023,Coupling,Predictive,Tightened,Misalignment,1.9
Lathe,54.70385594,77.14000494,555.7956,8,13-07-2023,Motor,Preventive,Inspected,No Failure,4.1
Lathe,45.08756303,74.73237625,975.7564,14,16-07-2023,Motor,Corrective,Inspected,Misalignment,5
Mill,48.87683425,69.27171087,946.6753,19,28-12-2023,Lubrication,Corrective,Flushed,Leakage,3.6
Lathe,52.7502605,61.53206282,518.3615,6,08-05-2024,Lubrication,Predictive,Checked,Misalignment,3.4
Drill,45.15827773,54.85152775,892.6384,17,23-03-2024,Shaft,Predictive,Inspected,Overheating,1.8
Mill,50.52687753,65.53485048,823.4891,12,15-03-2023,Bearing,Predictive,Lubricated,Bearing Failure,1
Lathe,43.32987253,78.56398794,742.428,15,23-06-2023,Gearbox,Corrective,Repaired,Wear and Tear,5.4
Drill,46.99316178,72.14093744,538.2482,15,12-03-2024,Gearbox,Preventive,Cleaned,No Failure,5.5
Mill,51.59890967,57.54261221,833.7306,13,03-01-2024,Gearbox,Predictive,Replaced,Overheating,4
Drill,42.03503133,71.73180926,536.0473,12,20-11-2023,Coupling,Corrective,Inspected,Bearing Failure,2.4
Drill,52.20237369,73.8531738,651.3724,12,25-01-2024,Shaft,Predictive,Replaced,Wear and Tear,2.4
Drill,49.90181101,61.16142564,611.2074,15,24-01-2023,Lubrication,Corrective,Checked,Overheating,4.5
Lathe,52.76244977,71.53725106,594.9878,8,09-08-2023,Bearing,Preventive,Lubricated,No Failure,5.4
Mill,51.11957067,70.58208718,899.0124,15,10-02-2024,Shaft,Predictive,Aligned,No Failure,5.4
Mill,56.82070215,58.57029702,504.1622,16,14-11-2023,Shaft,Corrective,Replaced,No Failure,4.8
Lathe,50.62612251,73.5778736,882.5177,5,23-11-2023,Lubrication,Predictive,Refilled,Misalignment,4
Mill,47.85297229,75.60784526,619.8196,19,05-04-2024,Lubrication,Preventive,Checked,No Failure,1
Drill,50.61148752,80.83051243,928.7757,13,15-08-2023,Motor,Predictive,Inspected,Misalignment,1.4
Mill,52.71649015,80.53802052,508.0264,16,20-12-2023,Coupling,Preventive,Inspected,No Failure,5.4
Lathe,50.24430035,56.22330632,771.2777,10,12-03-2024,Lubrication,Preventive,Refilled,No Failure,3.8
Drill,50.20295846,60.6217496,680.1737,10,22-10-2023,Bearing,Corrective,Lubricated,No Failure,0.6
Lathe,46.49004156,75.15035267,840.4315,16,22-07-2023,Gearbox,Preventive,Repaired,No Failure,1.1
Drill,46.68549541,75.13785951,900.1009,7,11-04-2024,Bearing,Predictive,Inspected,Leakage,4.1
Drill,42.98697364,75.15047686,623.5419,12,07-11-2023,Gearbox,Preventive,Replaced,No Failure,0.5
Mill,58.74788372,108.5273149,622.9973,15,14-12-2023,Shaft,Predictive,Replaced,No Failure,1.4
Drill,43.78068382,75.70890511,791.6914,15,08-06-2023,Gearbox,Corrective,Cleaned,Leakage,3.5
Lathe,46.53547401,81.3556564,958.0587,18,16-02-2023,Bearing,Predictive,Lubricated,Leakage,4.3
Mill,46.40796367,79.54001763,927.5678,19,09-03-2023,Motor,Predictive,Replaced,Misalignment,4.1
Lathe,54.47462188,76.51391251,647.7647,16,12-05-2023,Motor,Predictive,Inspected,Overheating,1.7
Drill,48.52525161,66.84730755,773.0045,5,08-05-2024,Motor,Predictive,Replaced,Bearing Failure,4.4
Lathe,56.23871036,77.5896922,566.8443,15,23-07-2023,Shaft,Corrective,Inspected,Leakage,1.8
Lathe,46.63254688,62.27174785,655.9765,10,02-10-2023,Motor,Corrective,Replaced,Bearing Failure,2.3
Drill,51.39497081,67.63181393,539.2765,15,11-12-2023,Lubrication,Preventive,Checked,No Failure,4.6
Mill,45.82326473,65.14636452,656.7049,14,25-02-2023,Coupling,Preventive,Inspected,No Failure,4.1
Lathe,60.72574564,70.81874139,977.9541,6,13-04-2024,Lubrication,Corrective,Checked,No Failure,5.2
Drill,44.0620079,93.14658567,505.78,12,10-04-2024,Shaft,Predictive,Replaced,Leakage,4.1
Mill,51.54910355,51.32734807,631.2251,5,24-01-2023,Gearbox,Preventive,Repaired,No Failure,3.6
Mill,53.1688844,76.8626019,603.1194,11,01-05-2023,Motor,Preventive,Repaired,No Failure,1
Mill,52.06899549,53.87284129,757.9763,14,10-12-2023,Shaft,Preventive,Aligned,No Failure,2.5
Lathe,49.07356171,65.28068134,916.9522,12,29-03-2024,Lubrication,Predictive,Checked,Leakage,2
Lathe,49.3508965,80.88950597,665.1404,12,25-04-2024,Gearbox,Corrective,Replaced,No Failure,1.8
Lathe,50.21905736,70.64280019,605.8632,14,16-08-2023,Bearing,Predictive,Lubricated,Misalignment,5.9
Mill,49.26498999,59.22255222,620.3558,14,06-04-2024,Motor,Corrective,Inspected,Overheating,2.7
Lathe,54.81939558,62.84696291,710.4432,14,10-05-2024,Bearing,Preventive,Lubricated,No Failure,5.4
Drill,61.05261501,76.79597749,616.8112,17,24-11-2023,Lubrication,Corrective,Checked,Misalignment,4
Lathe,47.21254107,62.69633368,985.6705,13,07-02-2024,Bearing,Corrective,Lubricated,Misalignment,4.9
Lathe,43.1509851,72.1645859,814.9427,8,21-04-2023,Shaft,Corrective,Inspected,Misalignment,3.3
Mill,49.55858976,70.4557184,980.6552,10,15-03-2024,Motor,Corrective,Inspected,Bearing Failure,3.7
Lathe,62.89854669,63.48399652,530.4283,11,05-12-2023,Shaft,Predictive,Aligned,Misalignment,3.2
Drill,45.98162716,91.43944089,585.9411,15,15-06-2023,Shaft,Corrective,Aligned,Misalignment,1.6
Mill,58.19558403,76.33919022,877.853,14,15-01-2024,Shaft,Preventive,Replaced,No Failure,4.5
Drill,58.38850407,49.74857413,694.4959,14,18-08-2023,Coupling,Corrective,Inspected,Bearing Failure,2
Mill,47.23205879,71.86454315,920.218,14,24-04-2023,Coupling,Predictive,Replaced,Wear and Tear,0.6
Mill,52.8449154,63.38213535,737.0475,12,23-08-2023,Bearing,Predictive,Inspected,No Failure,4.1
Lathe,58.14198312,78.52433335,609.9262,12,18-12-2023,Bearing,Preventive,Lubricated,No Failure,1.5
Drill,48.1043613,62.07479262,828.7858,14,14-06-2023,Lubrication,Predictive,Flushed,Bearing Failure,5.7
Mill,48.9820982,68.85263559,886.6005,9,21-11-2023,Shaft,Corrective,Replaced,Overheating,5.7
Lathe,47.09159543,75.04987279,875.8547,11,29-09-2023,Coupling,Predictive,Tightened,Wear and Tear,5.5
Mill,44.92621635,78.65755194,733.4312,14,11-02-2024,Lubrication,Predictive,Checked,Wear and Tear,2.5
Mill,46.75361227,57.99703593,653.9242,14,09-08-2023,Gearbox,Predictive,Cleaned,Leakage,0.6
Mill,43.88029867,66.65498764,704.942,13,24-07-2023,Shaft,Preventive,Aligned,No Failure,5.6
Mill,50.17041734,65.25054689,540.4424,15,07-12-2023,Gearbox,Corrective,Replaced,Wear and Tear,2.9
Mill,46.15013384,63.46670767,973.4768,12,16-02-2023,Motor,Corrective,Inspected,Wear and Tear,5.8
Mill,51.16892956,87.6545424,633.8609,18,14-01-2024,Bearing,Preventive,Replaced,No Failure,5.8
Lathe,42.22052177,74.04981711,595.975,12,15-10-2023,Shaft,Predictive,Replaced,No Failure,5.2
Mill,51.65440116,57.39116046,715.6638,12,26-04-2024,Gearbox,Corrective,Replaced,Overheating,2.1
